Date,Interest Rate,Price,Dividend
01/01/1946,2.19,252.75,9.35
01/02/1946,2.2,254.85,9.5
01/03/1946,2.2,244.53,9.49
01/04/1946,2.21,258.88,9.43
01/05/1946,2.21,258.03,9.38
01/06/1946,2.22,253.63,9.28
01/07/1946,2.22,232.71,8.81
01/08/1946,2.23,223.68,8.68
01/09/1946,2.23,188.83,8.63
01/01/1946,2.24,181.02,8.55
01/11/1946,2.24,176.05,8.43
01/12/1946,2.25,179.64,8.43
01/01/1947,2.25,180.59,8.47
01/02/1947,2.27,187.59,8.51
01/03/1947,2.28,176.71,8.39
01/04/1947,2.3,170.18,8.55
01/05/1947,2.31,167.15,8.7
01/06/1947,2.33,172.19,8.82
01/07/1947,2.35,181.33,8.85
01/08/1947,2.36,175.4,8.85
01/09/1947,2.38,167.15,8.77
01/01/1947,2.39,171.48,8.95
01/11/1947,2.41,168.74,9.1
01/12/1947,2.42,163.96,9.16
01/01/1948,2.44,159.73,9.08
01/02/1948,2.43,153.16,9.2
01/03/1948,2.42,156,9.27
01/04/1948,2.41,165.18,9.12
01/05/1948,2.4,172.5,9.08
01/06/1948,2.39,178.16,9
01/07/1948,2.38,171.79,8.96
01/08/1948,2.36,166.08,9
01/09/1948,2.35,164.21,9.06
01/01/1948,2.34,169.38,9.31
01/11/1948,2.33,161.29,9.6
01/12/1948,2.32,160.9,9.85
01/01/1949,2.31,163.37,10.07
01/02/1949,2.31,158.42,10.33
01/03/1949,2.31,159.92,10.51
01/04/1949,2.31,159.04,10.61
01/05/1949,2.31,158.53,10.8
01/06/1949,2.31,149.21,10.89
01/07/1949,2.32,158.98,11.06
01/08/1949,2.32,164,11.08
01/09/1949,2.32,165.45,11.11
01/01/1949,2.32,171.15,11.56
01/11/1949,2.32,172.79,11.87
01/12/1949,2.32,178.91,12.33
01/01/1950,2.32,183.36,12.49
01/02/1950,2.34,186.95,12.6
01/03/1950,2.36,187.67,12.66
01/04/1950,2.38,192.97,12.76
01/05/1950,2.4,198.62,12.82
01/06/1950,2.42,201,12.87
01/07/1950,2.45,184.09,13.17
01/08/1950,2.47,193.61,13.52
01/09/1950,2.49,199.61,13.91
01/01/1950,2.51,206.19,14.29
01/11/1950,2.53,204.94,14.71
01/12/1950,2.55,201.66,15.01
01/01/1951,2.57,213.16,14.94
01/02/1951,2.58,218.52,14.93
01/03/1951,2.59,214.01,15.04
01/04/1951,2.6,216.88,15.17
01/05/1951,2.61,216.14,15.24
01/06/1951,2.62,212.4,15.38
01/07/1951,2.63,216.14,15.24
01/08/1951,2.63,225.6,15.11
01/09/1951,2.64,229.65,14.87
01/01/1951,2.65,227.6,14.45
01/11/1951,2.66,219.59,13.99
01/12/1951,2.67,225.51,13.58
01/01/1952,2.68,233.02,13.61
01/02/1952,2.69,230.52,13.75
